county,ward,office,district,total votes,party,candidate,votes
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,167,Non-Partisan,Robert A. Ferg,41
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 2",,79,Non-Partisan,Robert A. Ferg,15
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 2",,34,Non-Partisan,Robert A. Ferg,10
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 2",,74,Non-Partisan,Robert A. Ferg,13
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 2",,38,Non-Partisan,Robert A. Ferg,9
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 2",,32,Non-Partisan,Robert A. Ferg,4
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 2",,49,Non-Partisan,Robert A. Ferg,11
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 2",,40,Non-Partisan,Robert A. Ferg,10
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 2",,58,Non-Partisan,Robert A. Ferg,6
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,245,Non-Partisan,Robert A. Ferg,73
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 2",,60,Non-Partisan,Robert A. Ferg,12
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 2",,38,Non-Partisan,Robert A. Ferg,8
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,118,Non-Partisan,Robert A. Ferg,6
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,31,Non-Partisan,Robert A. Ferg,9
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 2",,62,Non-Partisan,Robert A. Ferg,11
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 2",,547,Non-Partisan,Robert A. Ferg,130
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,128,Non-Partisan,Robert A. Ferg,30
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 2",,30,Non-Partisan,Robert A. Ferg,6
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 2",,42,Non-Partisan,Robert A. Ferg,15
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,120,Non-Partisan,Robert A. Ferg,13
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,102,Non-Partisan,Robert A. Ferg,32
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,141,Non-Partisan,Robert A. Ferg,20
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,49,Non-Partisan,Robert A. Ferg,12
Chippewa,Village Of Boyd,"Chippewa County Circuit Court, Branch 2",,47,Non-Partisan,Robert A. Ferg,13
Chippewa,Village Of Cadott Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,180,Non-Partisan,Robert A. Ferg,24
Chippewa,Village Of Lake Hallie Wards 1 - 5,"Chippewa County Circuit Court, Branch 2",,311,Non-Partisan,Robert A. Ferg,126
Chippewa,Village Of New Auburn Ward 1,"Chippewa County Circuit Court, Branch 2",,32,Non-Partisan,Robert A. Ferg,16
Chippewa,City Of Bloomer Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,157,Non-Partisan,Robert A. Ferg,51
Chippewa,City Of Chippewa Falls Ward 1,"Chippewa County Circuit Court, Branch 2",,118,Non-Partisan,Robert A. Ferg,39
Chippewa,City Of Chippewa Falls Ward 2,"Chippewa County Circuit Court, Branch 2",,151,Non-Partisan,Robert A. Ferg,65
Chippewa,City Of Chippewa Falls Ward 3,"Chippewa County Circuit Court, Branch 2",,219,Non-Partisan,Robert A. Ferg,92
Chippewa,City Of Chippewa Falls Ward 4,"Chippewa County Circuit Court, Branch 2",,164,Non-Partisan,Robert A. Ferg,55
Chippewa,City Of Chippewa Falls Ward 5,"Chippewa County Circuit Court, Branch 2",,94,Non-Partisan,Robert A. Ferg,36
Chippewa,City Of Chippewa Falls Ward 6,"Chippewa County Circuit Court, Branch 2",,135,Non-Partisan,Robert A. Ferg,45
Chippewa,City Of Chippewa Falls Ward 7,"Chippewa County Circuit Court, Branch 2",,190,Non-Partisan,Robert A. Ferg,66
Chippewa,City Of Cornell Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,106,Non-Partisan,Robert A. Ferg,26
Chippewa,"City Of Eau Claire Wards 16, 40 & 41","Chippewa County Circuit Court, Branch 2",,71,Non-Partisan,Robert A. Ferg,16
Chippewa,City Of Stanley Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,103,Non-Partisan,Robert A. Ferg,31
Dane,Town Of Albion Wards 1 & 2,"Dane County Circuit Court, Branch 13",,42,Non-Partisan,Stephen Ehlke,6
Dane,Town Of Berry Wards 1 & 2,"Dane County Circuit Court, Branch 13",,62,Non-Partisan,Stephen Ehlke,9
Dane,Town Of Black Earth,"Dane County Circuit Court, Branch 13",,29,Non-Partisan,Stephen Ehlke,3
Dane,Town Of Blooming Grove Wards 1 - 3,"Dane County Circuit Court, Branch 13",,80,Non-Partisan,Stephen Ehlke,11
Dane,Town Of Blue Mounds,"Dane County Circuit Court, Branch 13",,73,Non-Partisan,Stephen Ehlke,14
Dane,Town Of Bristol Wards 1 - 3,"Dane County Circuit Court, Branch 13",,108,Non-Partisan,Stephen Ehlke,24
Dane,Town Of Burke Wards 1 - 4,"Dane County Circuit Court, Branch 13",,108,Non-Partisan,Stephen Ehlke,19
Dane,Town Of Christiana Wards 1 & 2,"Dane County Circuit Court, Branch 13",,63,Non-Partisan,Stephen Ehlke,13
Dane,Town Of Cottage Grove Wards 1 - 5,"Dane County Circuit Court, Branch 13",,337,Non-Partisan,Stephen Ehlke,80
Dane,Town Of Cross Plains Wards 1 & 2,"Dane County Circuit Court, Branch 13",,319,Non-Partisan,Stephen Ehlke,62
Dane,Town Of Dane,"Dane County Circuit Court, Branch 13",,45,Non-Partisan,Stephen Ehlke,9
Dane,Town Of Deerfield Wards 1 & 2,"Dane County Circuit Court, Branch 13",,66,Non-Partisan,Stephen Ehlke,8
Dane,Town Of Dunkirk Wards 1 - 3,"Dane County Circuit Court, Branch 13",,93,Non-Partisan,Stephen Ehlke,22
Dane,Town Of Dunn Wards 1 - 7,"Dane County Circuit Court, Branch 13",,182,Non-Partisan,Stephen Ehlke,43
Dane,Town Of Madison Ward 1,"Dane County Circuit Court, Branch 13",,28,Non-Partisan,Stephen Ehlke,5
Dane,Town Of Madison Wards 2 - 11,"Dane County Circuit Court, Branch 13",,112,Non-Partisan,Stephen Ehlke,24
Dane,Town Of Mazomanie Wards 1 & 2,"Dane County Circuit Court, Branch 13",,54,Non-Partisan,Stephen Ehlke,10
Dane,Town Of Medina Wards 1 & 2,"Dane County Circuit Court, Branch 13",,115,Non-Partisan,Stephen Ehlke,27
Dane,Town Of Middleton Wards 1 - 5,"Dane County Circuit Court, Branch 13",,245,Non-Partisan,Stephen Ehlke,56
Dane,Town Of Montrose Wards 1 & 2,"Dane County Circuit Court, Branch 13",,69,Non-Partisan,Stephen Ehlke,13
Dane,Town Of Oregon Wards 1 - 4,"Dane County Circuit Court, Branch 13",,214,Non-Partisan,Stephen Ehlke,57
Dane,Town Of Perry,"Dane County Circuit Court, Branch 13",,54,Non-Partisan,Stephen Ehlke,7
Dane,Town Of Pleasant Springs Wards 1 - 4,"Dane County Circuit Court, Branch 13",,116,Non-Partisan,Stephen Ehlke,24
Dane,Town Of Primrose,"Dane County Circuit Court, Branch 13",,53,Non-Partisan,Stephen Ehlke,12
Dane,Town Of Roxbury Wards 1 & 2,"Dane County Circuit Court, Branch 13",,46,Non-Partisan,Stephen Ehlke,8
Dane,Town Of Rutland Wards 1 & 2,"Dane County Circuit Court, Branch 13",,89,Non-Partisan,Stephen Ehlke,14
Dane,Town Of Springdale Wards 1 & 2,"Dane County Circuit Court, Branch 13",,125,Non-Partisan,Stephen Ehlke,24
Dane,Town Of Springfield Wards 1 - 3,"Dane County Circuit Court, Branch 13",,172,Non-Partisan,Stephen Ehlke,43
Dane,Town Of Sun Prairie Wards 1 - 3,"Dane County Circuit Court, Branch 13",,108,Non-Partisan,Stephen Ehlke,23
Dane,Town Of Vermont,"Dane County Circuit Court, Branch 13",,64,Non-Partisan,Stephen Ehlke,6
Dane,Town Of Verona Wards 1 - 3,"Dane County Circuit Court, Branch 13",,113,Non-Partisan,Stephen Ehlke,15
Dane,Town Of Vienna Wards 1 & 2,"Dane County Circuit Court, Branch 13",,55,Non-Partisan,Stephen Ehlke,6
Dane,Town Of Westport Wards 1 - 4,"Dane County Circuit Court, Branch 13",,262,Non-Partisan,Stephen Ehlke,69
Dane,Town Of Windsor Wards 1 - 7,"Dane County Circuit Court, Branch 13",,184,Non-Partisan,Stephen Ehlke,32
Dane,Town Of York,"Dane County Circuit Court, Branch 13",,38,Non-Partisan,Stephen Ehlke,8
Dane,"Village Of Belleville Wards 1, 2, 4 - 6","Dane County Circuit Court, Branch 13",,66,Non-Partisan,Stephen Ehlke,7
Dane,Village Of Black Earth Wards 1 & 2,"Dane County Circuit Court, Branch 13",,56,Non-Partisan,Stephen Ehlke,11
Dane,Village Of Blue Mounds,"Dane County Circuit Court, Branch 13",,39,Non-Partisan,Stephen Ehlke,8
Dane,Village Of Brooklyn Ward 1,"Dane County Circuit Court, Branch 13",,22,Non-Partisan,Stephen Ehlke,7
Dane,Village Of Cambridge Wards 2 & 3,"Dane County Circuit Court, Branch 13",,56,Non-Partisan,Stephen Ehlke,10
Dane,Village Of Cottage Grove Wards 1 - 9,"Dane County Circuit Court, Branch 13",,456,Non-Partisan,Stephen Ehlke,82
Dane,Village Of Cross Plains Wards 1 - 4,"Dane County Circuit Court, Branch 13",,137,Non-Partisan,Stephen Ehlke,26
Dane,Village Of Dane,"Dane County Circuit Court, Branch 13",,19,Non-Partisan,Stephen Ehlke,3
Dane,Village Of Deerfield Wards 1 - 4,"Dane County Circuit Court, Branch 13",,87,Non-Partisan,Stephen Ehlke,19
Dane,"Village Of De Forest Wards 1, 2, 4, 7, 10 - 12","Dane County Circuit Court, Branch 13",,102,Non-Partisan,Stephen Ehlke,29
Dane,"Village Of De Forest Wards 3, 5, 6, 8 & 9","Dane County Circuit Court, Branch 13",,132,Non-Partisan,Stephen Ehlke,26
Dane,Village Of Maple Bluff Wards 1 - 3,"Dane County Circuit Court, Branch 13",,210,Non-Partisan,Stephen Ehlke,127
Dane,Village Of Marshall Wards 1 - 7,"Dane County Circuit Court, Branch 13",,208,Non-Partisan,Stephen Ehlke,31
Dane,Village Of Mazomanie Wards 1 - 4,"Dane County Circuit Court, Branch 13",,72,Non-Partisan,Stephen Ehlke,11
Dane,Village Of Mcfarland Wards 1 - 8,"Dane County Circuit Court, Branch 13",,324,Non-Partisan,Stephen Ehlke,55
Dane,"Village Of Mount Horeb Wards 1, 5 & 6","Dane County Circuit Court, Branch 13",,326,Non-Partisan,Stephen Ehlke,48
Dane,Village Of Mount Horeb Wards 2 - 4,"Dane County Circuit Court, Branch 13",,250,Non-Partisan,Stephen Ehlke,35
Dane,"Village Of Oregon Wards 1, 5 & 6","Dane County Circuit Court, Branch 13",,88,Non-Partisan,Stephen Ehlke,14
Dane,Village Of Oregon Wards 2 - 4,"Dane County Circuit Court, Branch 13",,108,Non-Partisan,Stephen Ehlke,20
Dane,Village Of Oregon Wards 7 - 10,"Dane County Circuit Court, Branch 13",,65,Non-Partisan,Stephen Ehlke,13
Dane,Village Of Rockdale,"Dane County Circuit Court, Branch 13",,14,Non-Partisan,Stephen Ehlke,4
Dane,Village Of Shorewood Hills Wards 1 & 2,"Dane County Circuit Court, Branch 13",,208,Non-Partisan,Stephen Ehlke,47
Dane,Village Of Waunakee Wards 1 - 7,"Dane County Circuit Court, Branch 13",,146,Non-Partisan,Stephen Ehlke,32
Dane,Village Of Waunakee Wards 8 - 14,"Dane County Circuit Court, Branch 13",,238,Non-Partisan,Stephen Ehlke,56
Dane,City Of Edgerton Ward 7,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Fitchburg Wards 1 - 3,"Dane County Circuit Court, Branch 13",,192,Non-Partisan,Stephen Ehlke,34
Dane,City Of Fitchburg Wards 4 - 6,"Dane County Circuit Court, Branch 13",,195,Non-Partisan,Stephen Ehlke,30
Dane,City Of Fitchburg Wards 7 - 9,"Dane County Circuit Court, Branch 13",,495,Non-Partisan,Stephen Ehlke,123
Dane,City Of Fitchburg Wards 10 - 14,"Dane County Circuit Court, Branch 13",,612,Non-Partisan,Stephen Ehlke,132
Dane,City Of Madison Ward 1,"Dane County Circuit Court, Branch 13",,163,Non-Partisan,Stephen Ehlke,45
Dane,City Of Madison Ward 2,"Dane County Circuit Court, Branch 13",,202,Non-Partisan,Stephen Ehlke,56
Dane,City Of Madison Ward 3,"Dane County Circuit Court, Branch 13",,131,Non-Partisan,Stephen Ehlke,30
Dane,City Of Madison Ward 4,"Dane County Circuit Court, Branch 13",,96,Non-Partisan,Stephen Ehlke,14
Dane,City Of Madison Ward 5,"Dane County Circuit Court, Branch 13",,163,Non-Partisan,Stephen Ehlke,32
Dane,City Of Madison Ward 6,"Dane County Circuit Court, Branch 13",,115,Non-Partisan,Stephen Ehlke,23
Dane,City Of Madison Ward 7,"Dane County Circuit Court, Branch 13",,152,Non-Partisan,Stephen Ehlke,31
Dane,City Of Madison Ward 8,"Dane County Circuit Court, Branch 13",,100,Non-Partisan,Stephen Ehlke,24
Dane,City Of Madison Ward 9,"Dane County Circuit Court, Branch 13",,27,Non-Partisan,Stephen Ehlke,7
Dane,City Of Madison Ward 10,"Dane County Circuit Court, Branch 13",,135,Non-Partisan,Stephen Ehlke,39
Dane,City Of Madison Ward 11,"Dane County Circuit Court, Branch 13",,193,Non-Partisan,Stephen Ehlke,32
Dane,City Of Madison Ward 12,"Dane County Circuit Court, Branch 13",,71,Non-Partisan,Stephen Ehlke,17
Dane,City Of Madison Ward 13,"Dane County Circuit Court, Branch 13",,31,Non-Partisan,Stephen Ehlke,8
Dane,City Of Madison Ward 14,"Dane County Circuit Court, Branch 13",,77,Non-Partisan,Stephen Ehlke,15
Dane,City Of Madison Ward 15,"Dane County Circuit Court, Branch 13",,43,Non-Partisan,Stephen Ehlke,5
Dane,City Of Madison Ward 16,"Dane County Circuit Court, Branch 13",,40,Non-Partisan,Stephen Ehlke,13
Dane,City Of Madison Ward 17,"Dane County Circuit Court, Branch 13",,62,Non-Partisan,Stephen Ehlke,18
Dane,City Of Madison Ward 18,"Dane County Circuit Court, Branch 13",,119,Non-Partisan,Stephen Ehlke,15
Dane,City Of Madison Ward 19,"Dane County Circuit Court, Branch 13",,114,Non-Partisan,Stephen Ehlke,36
Dane,City Of Madison Ward 20,"Dane County Circuit Court, Branch 13",,21,Non-Partisan,Stephen Ehlke,4
Dane,City Of Madison Ward 21,"Dane County Circuit Court, Branch 13",,14,Non-Partisan,Stephen Ehlke,1
Dane,City Of Madison Ward 22,"Dane County Circuit Court, Branch 13",,120,Non-Partisan,Stephen Ehlke,21
Dane,City Of Madison Ward 23,"Dane County Circuit Court, Branch 13",,33,Non-Partisan,Stephen Ehlke,5
Dane,City Of Madison Ward 24,"Dane County Circuit Court, Branch 13",,109,Non-Partisan,Stephen Ehlke,18
Dane,City Of Madison Ward 25,"Dane County Circuit Court, Branch 13",,328,Non-Partisan,Stephen Ehlke,70
Dane,City Of Madison Ward 26,"Dane County Circuit Court, Branch 13",,13,Non-Partisan,Stephen Ehlke,4
Dane,City Of Madison Ward 27,"Dane County Circuit Court, Branch 13",,112,Non-Partisan,Stephen Ehlke,24
Dane,City Of Madison Ward 28,"Dane County Circuit Court, Branch 13",,19,Non-Partisan,Stephen Ehlke,3
Dane,City Of Madison Ward 29,"Dane County Circuit Court, Branch 13",,34,Non-Partisan,Stephen Ehlke,4
Dane,City Of Madison Ward 30,"Dane County Circuit Court, Branch 13",,128,Non-Partisan,Stephen Ehlke,26
Dane,City Of Madison Ward 31,"Dane County Circuit Court, Branch 13",,63,Non-Partisan,Stephen Ehlke,10
Dane,City Of Madison Ward 32,"Dane County Circuit Court, Branch 13",,150,Non-Partisan,Stephen Ehlke,18
Dane,City Of Madison Ward 33,"Dane County Circuit Court, Branch 13",,282,Non-Partisan,Stephen Ehlke,75
Dane,City Of Madison Ward 34,"Dane County Circuit Court, Branch 13",,326,Non-Partisan,Stephen Ehlke,72
Dane,City Of Madison Ward 35,"Dane County Circuit Court, Branch 13",,155,Non-Partisan,Stephen Ehlke,35
Dane,City Of Madison Ward 36,"Dane County Circuit Court, Branch 13",,28,Non-Partisan,Stephen Ehlke,13
Dane,City Of Madison Ward 37,"Dane County Circuit Court, Branch 13",,289,Non-Partisan,Stephen Ehlke,77
Dane,City Of Madison Ward 38,"Dane County Circuit Court, Branch 13",,193,Non-Partisan,Stephen Ehlke,54
Dane,City Of Madison Ward 39,"Dane County Circuit Court, Branch 13",,183,Non-Partisan,Stephen Ehlke,60
Dane,City Of Madison Ward 40,"Dane County Circuit Court, Branch 13",,50,Non-Partisan,Stephen Ehlke,6
Dane,City Of Madison Ward 41,"Dane County Circuit Court, Branch 13",,44,Non-Partisan,Stephen Ehlke,10
Dane,City Of Madison Ward 42,"Dane County Circuit Court, Branch 13",,32,Non-Partisan,Stephen Ehlke,3
Dane,City Of Madison Ward 43,"Dane County Circuit Court, Branch 13",,214,Non-Partisan,Stephen Ehlke,48
Dane,City Of Madison Ward 44,"Dane County Circuit Court, Branch 13",,116,Non-Partisan,Stephen Ehlke,19
Dane,City Of Madison Ward 45,"Dane County Circuit Court, Branch 13",,107,Non-Partisan,Stephen Ehlke,24
Dane,City Of Madison Ward 46,"Dane County Circuit Court, Branch 13",,79,Non-Partisan,Stephen Ehlke,13
Dane,City Of Madison Ward 47,"Dane County Circuit Court, Branch 13",,26,Non-Partisan,Stephen Ehlke,2
Dane,City Of Madison Ward 48,"Dane County Circuit Court, Branch 13",,41,Non-Partisan,Stephen Ehlke,9
Dane,City Of Madison Ward 49,"Dane County Circuit Court, Branch 13",,46,Non-Partisan,Stephen Ehlke,9
Dane,City Of Madison Ward 50,"Dane County Circuit Court, Branch 13",,175,Non-Partisan,Stephen Ehlke,29
Dane,City Of Madison Ward 51,"Dane County Circuit Court, Branch 13",,74,Non-Partisan,Stephen Ehlke,14
Dane,City Of Madison Ward 52,"Dane County Circuit Court, Branch 13",,178,Non-Partisan,Stephen Ehlke,36
Dane,City Of Madison Ward 53,"Dane County Circuit Court, Branch 13",,26,Non-Partisan,Stephen Ehlke,3
Dane,City Of Madison Ward 54,"Dane County Circuit Court, Branch 13",,76,Non-Partisan,Stephen Ehlke,7
Dane,City Of Madison Ward 55,"Dane County Circuit Court, Branch 13",,4,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 56,"Dane County Circuit Court, Branch 13",,74,Non-Partisan,Stephen Ehlke,13
Dane,City Of Madison Ward 57,"Dane County Circuit Court, Branch 13",,26,Non-Partisan,Stephen Ehlke,2
Dane,City Of Madison Ward 58,"Dane County Circuit Court, Branch 13",,21,Non-Partisan,Stephen Ehlke,4
Dane,City Of Madison Ward 59,"Dane County Circuit Court, Branch 13",,102,Non-Partisan,Stephen Ehlke,26
Dane,City Of Madison Ward 60,"Dane County Circuit Court, Branch 13",,2,Non-Partisan,Stephen Ehlke,1
Dane,City Of Madison Ward 61,"Dane County Circuit Court, Branch 13",,152,Non-Partisan,Stephen Ehlke,43
Dane,City Of Madison Ward 62,"Dane County Circuit Court, Branch 13",,19,Non-Partisan,Stephen Ehlke,8
Dane,City Of Madison Ward 63,"Dane County Circuit Court, Branch 13",,26,Non-Partisan,Stephen Ehlke,2
Dane,City Of Madison Ward 64,"Dane County Circuit Court, Branch 13",,162,Non-Partisan,Stephen Ehlke,42
Dane,City Of Madison Ward 65,"Dane County Circuit Court, Branch 13",,262,Non-Partisan,Stephen Ehlke,62
Dane,City Of Madison Ward 66,"Dane County Circuit Court, Branch 13",,198,Non-Partisan,Stephen Ehlke,28
Dane,City Of Madison Ward 67,"Dane County Circuit Court, Branch 13",,272,Non-Partisan,Stephen Ehlke,68
Dane,City Of Madison Ward 68,"Dane County Circuit Court, Branch 13",,45,Non-Partisan,Stephen Ehlke,7
Dane,City Of Madison Ward 69,"Dane County Circuit Court, Branch 13",,213,Non-Partisan,Stephen Ehlke,30
Dane,City Of Madison Ward 70,"Dane County Circuit Court, Branch 13",,220,Non-Partisan,Stephen Ehlke,34
Dane,City Of Madison Ward 71,"Dane County Circuit Court, Branch 13",,101,Non-Partisan,Stephen Ehlke,14
Dane,City Of Madison Ward 72,"Dane County Circuit Court, Branch 13",,349,Non-Partisan,Stephen Ehlke,36
Dane,City Of Madison Ward 73,"Dane County Circuit Court, Branch 13",,199,Non-Partisan,Stephen Ehlke,27
Dane,City Of Madison Ward 74,"Dane County Circuit Court, Branch 13",,192,Non-Partisan,Stephen Ehlke,41
Dane,City Of Madison Ward 75,"Dane County Circuit Court, Branch 13",,299,Non-Partisan,Stephen Ehlke,53
Dane,City Of Madison Ward 76,"Dane County Circuit Court, Branch 13",,183,Non-Partisan,Stephen Ehlke,34
Dane,City Of Madison Ward 77,"Dane County Circuit Court, Branch 13",,192,Non-Partisan,Stephen Ehlke,33
Dane,City Of Madison Ward 78,"Dane County Circuit Court, Branch 13",,182,Non-Partisan,Stephen Ehlke,50
Dane,City Of Madison Ward 79,"Dane County Circuit Court, Branch 13",,115,Non-Partisan,Stephen Ehlke,14
Dane,City Of Madison Ward 80,"Dane County Circuit Court, Branch 13",,19,Non-Partisan,Stephen Ehlke,5
Dane,City Of Madison Ward 81,"Dane County Circuit Court, Branch 13",,164,Non-Partisan,Stephen Ehlke,36
Dane,City Of Madison Ward 82,"Dane County Circuit Court, Branch 13",,226,Non-Partisan,Stephen Ehlke,45
Dane,City Of Madison Ward 83,"Dane County Circuit Court, Branch 13",,230,Non-Partisan,Stephen Ehlke,53
Dane,City Of Madison Ward 84,"Dane County Circuit Court, Branch 13",,208,Non-Partisan,Stephen Ehlke,38
Dane,City Of Madison Ward 85,"Dane County Circuit Court, Branch 13",,188,Non-Partisan,Stephen Ehlke,40
Dane,City Of Madison Ward 86,"Dane County Circuit Court, Branch 13",,229,Non-Partisan,Stephen Ehlke,46
Dane,City Of Madison Ward 87,"Dane County Circuit Court, Branch 13",,180,Non-Partisan,Stephen Ehlke,24
Dane,City Of Madison Ward 88,"Dane County Circuit Court, Branch 13",,27,Non-Partisan,Stephen Ehlke,3
Dane,City Of Madison Ward 89,"Dane County Circuit Court, Branch 13",,76,Non-Partisan,Stephen Ehlke,17
Dane,City Of Madison Ward 90,"Dane County Circuit Court, Branch 13",,64,Non-Partisan,Stephen Ehlke,15
Dane,City Of Madison Ward 91,"Dane County Circuit Court, Branch 13",,100,Non-Partisan,Stephen Ehlke,30
Dane,City Of Madison Ward 92,"Dane County Circuit Court, Branch 13",,155,Non-Partisan,Stephen Ehlke,45
Dane,City Of Madison Ward 93,"Dane County Circuit Court, Branch 13",,100,Non-Partisan,Stephen Ehlke,26
Dane,City Of Madison Ward 94,"Dane County Circuit Court, Branch 13",,69,Non-Partisan,Stephen Ehlke,19
Dane,City Of Madison Ward 95,"Dane County Circuit Court, Branch 13",,52,Non-Partisan,Stephen Ehlke,6
Dane,City Of Madison Ward 96,"Dane County Circuit Court, Branch 13",,182,Non-Partisan,Stephen Ehlke,31
Dane,City Of Madison Ward 97,"Dane County Circuit Court, Branch 13",,56,Non-Partisan,Stephen Ehlke,11
Dane,City Of Madison Ward 98,"Dane County Circuit Court, Branch 13",,82,Non-Partisan,Stephen Ehlke,21
Dane,City Of Madison Ward 99,"Dane County Circuit Court, Branch 13",,177,Non-Partisan,Stephen Ehlke,47
Dane,City Of Madison Ward 100,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 101,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 102,"Dane County Circuit Court, Branch 13",,20,Non-Partisan,Stephen Ehlke,3
Dane,City Of Madison Ward 103,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 104,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 105,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 106,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 107,"Dane County Circuit Court, Branch 13",,1,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 108,"Dane County Circuit Court, Branch 13",,2,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 109,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 110,"Dane County Circuit Court, Branch 13",,4,Non-Partisan,Stephen Ehlke,3
Dane,City Of Madison Ward 111,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 112,"Dane County Circuit Court, Branch 13",,6,Non-Partisan,Stephen Ehlke,6
Dane,City Of Madison Ward 113,"Dane County Circuit Court, Branch 13",,2,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 114,"Dane County Circuit Court, Branch 13",,2,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 115,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 116,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 117,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 118,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 119,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 120,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 121,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 122,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 123,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 124,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 125,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 126,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 127,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 128,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 129,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 130,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 131,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
Dane,City Of Madison Ward 132,"Dane County Circuit Court, Branch 13",,0,Non-Partisan,Stephen Ehlke,0
