ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Jay N. Conley,Vance M. Waggoner,Edward Burke,Scattering ,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,265,Omro,71265,5,Wards 1 - 7,16,110,71,43,32,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,1,Ward 1,24,67,27,36,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,2,Ward 2,18,46,30,18,26,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,3,Ward 3,11,42,12,27,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,4,Ward 4,5,17,15,9,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,5,Ward 5,0,4,3,1,3,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,6,Ward 6,1,7,0,2,5,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,7,Ward 7,24,45,34,22,23,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,8,Ward 8,33,98,30,63,49,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,9,Ward 9,21,39,16,11,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,10,Ward 10,31,41,17,19,16,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,11,Ward 11,22,47,18,22,20,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,12,Ward 12,15,18,8,10,5,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,13,Ward 13,5,1,0,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,14,Ward 14,6,2,3,2,3,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,15,Ward 15,17,15,6,7,3,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,16,Ward 16,9,12,7,6,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,17,Ward 17,29,71,35,38,32,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,18,Ward 18,22,21,19,12,14,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,19,Ward 19,45,35,21,16,20,1
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,20,Ward 20,23,20,18,6,7,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,21,Ward 21,16,21,15,11,4,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,22,Ward 22,12,21,20,18,16,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,23,Ward 23,18,53,19,15,16,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,24,Ward 24,27,62,22,37,18,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,25,Ward 25,2,17,9,7,7,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,26,Ward 26,27,92,39,27,25,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,27,Ward 27,17,45,26,31,16,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,28,Ward 28,16,127,17,28,60,1
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,29,Ward 29,26,102,20,49,41,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,30,Ward 30,4,50,17,12,16,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,31,Ward 31,17,69,28,27,26,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,32,Ward 32,10,79,45,51,33,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,54,2,71,Winnebago,City,266,Oshkosh,71266,33,Ward 33,21,64,31,23,36,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,34,Ward 34,0,3,1,0,1,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,35,Ward 35,3,6,8,4,2,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,36,Ward 36,0,0,0,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,42,Ward 37,0,0,0,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,43,Ward 38,0,0,0,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,44,Ward 39,2,4,3,1,3,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,45,Ward 40,0,0,0,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,City,266,Oshkosh,71266,46,Ward 41,0,0,0,0,0,0
 , , , , , , , , , , , , , , , ,TOTAL,971,3641,1526,2671,1238,5
