ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Jay N. Conley,Vance M. Waggoner,Edward Burke,Scattering ,,
ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,John M. O'Boyle,Robert L. Loberg,Joe Boles,Scattering ,,
DATE,TYPE,SUBTYPE,KEYWORD,NAME,DISTRICT,DISTRICT,DISTRICT,DISTRICT,NUMBER,NAME,TYPE,NUMBER,NAME,NUMBER,NUMBER,NAME,Non-Partisan,Non-Partisan,Non-Partisan,,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Town,2,Clifton,48002,2,Wards 1 & 2,13,61,113,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Town,4,Diamond Bluff,48004,2,,6,23,33,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,6,Ellsworth,48006,2,Wards 1 & 2,15,117,102,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,8,El Paso,48008,2,Wards 1 & 2,10,65,43,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,29,3,48,Pierce,Town,10,Gilman,48010,2,,7,32,42,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,12,Hartland,48012,2,,3,58,39,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,14,Isabelle,48014,2,,2,17,5,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,16,Maiden Rock,48016,2,,1,35,17,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,18,Martell,48018,2,Wards 1 & 2,7,63,76,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Town,20,Oak Grove,48020,2,Wards 1 & 2,6,62,64,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Town,22,River Falls,48022,2,Wards 1 - 3,28,89,234,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,93,3,48,Pierce,Town,24,Rock Elm,48024,2,,11,27,17,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,26,Salem,48026,2,Wards 1 & 2,6,28,39,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,29,3,48,Pierce,Town,28,Spring Lake,48028,2,Wards 1 & 2,4,20,17,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Town,30,Trenton,48030,2,Wards 1 & 2,17,60,64,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Town,32,Trimbelle,48032,2,Wards 1 & 2,14,145,95,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Town,34,Union,48034,2,,1,32,15,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Village,106,Bay City,48106,2,,4,30,11,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,Village,121,Ellsworth,48121,2,Wards 1 - 4,28,323,174,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,29,3,48,Pierce,Village,122,Elmwood,48122,2,,5,45,48,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Village,151,Maiden Rock,48151,2,,7,14,8,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,31,91,3,48,Pierce,Village,171,Plum City,48171,2,,6,56,13,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,29,3,48,Pierce,Village,181,Spring Valley,48181,2,Wards 1 & 2,4,44,36,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,City,271,Prescott,48271,2,Wards 1 - 4,20,207,85,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,City,276,River Falls,48276,5,Wards 3 & 4,3,16,124,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,City,276,River Falls,48276,6,Wards 5 - 7,21,41,253,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,City,276,River Falls,48276,7,Wards 8 - 10,5,14,63,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,Pierce County Circuit Court,3,10,30,3,48,Pierce,City,276,River Falls,48276,8,Wards 11 & 12,28,35,196,1,,
 , , , , , , , , , , , , , , , ,TOTAL,282,1759,2026,1,,
ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,David M. Reddy,F. Mark Bromley,Scott Letteney,David A. Danz,Scattering ,
DATE,TYPE,SUBTYPE,KEYWORD,NAME,DISTRICT,DISTRICT,DISTRICT,DISTRICT,NUMBER,NAME,TYPE,NUMBER,NAME,NUMBER,NUMBER,NAME,Non-Partisan,Non-Partisan,Non-Partisan,Non-Partisan,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,2,Bloomfield,65002,2,Wards 1 - 7,31,14,7,38,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,4,Darien,65004,2,Wards 1 - 6,63,14,5,22,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,Town,6,Delavan,65006,3,Wards 1 - 7,183,65,18,90,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,28,83,2,65,Walworth,Town,8,East Troy,65008,3,Wards 1 - 7,31,38,13,40,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,10,Geneva,65010,3,Wards 1 - 8,69,69,168,86,3,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,Town,12,Lafayette,65012,1,Wards 1 - 4,49,24,5,47,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,Town,14,La Grange,65014,2,Wards 1 - 3,21,118,12,31,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,16,Linn,65016,1,"Wards 1, 2 & 4",17,17,4,24,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,16,Linn,65016,2,Wards 3 & 5,8,6,6,8,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,18,Lyons,65018,2,Wards 1 - 6,32,29,13,45,1,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,15,45,2,65,Walworth,Town,20,Richmond,65020,1,Wards 1 - 3,23,29,5,27,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,32,2,65,Walworth,Town,22,Sharon,65022,2,,9,14,1,7,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,Town,24,Spring Prairie,65024,2,Wards 1 - 4,23,40,5,45,0,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Walworth County Circuit Court, Branch 4",1,11,31,2,65,Walworth,Town,26,Sugar Creek,65026,2,Wards 1 - 5,71,112,9,56,0,
